id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
SlaT-3176-n7,nuntius,v#v-w1393_MPf2_MP,nuntio-07,v#00928630,114008,"ACT, ADDR, PAT",omnia propere per nuntios consuli declarantur,,if EVENT,,,,
SlaT-3177-n2,occupo,v#v-w595_MPf4_MP,occupo-08,v#01809321,114620,"ACT, PAT",illum ingens cura atque laetitia simul occupavere,,,,,,
SlaT-3177-n6,cura,v#v-w314_MPf1_MP,,,,,,,NON-EVENT,,,,
SlaT-3178-n1,laetor,v#v-w926_MPf2_MP,,,,,,,NON-EVENT,,,,
SlaT-3178-n3,intelligo,v#v-w117_MPf17_MP,intellego-04,v#00593522,108367,"ACT, PAT",laetabatur intellegens coniuratione patefacta civitatem periculis ereptam esse,,,,,,
SlaT-3178-n4,patefacio,v#v-w246_MPf4_MP,patefacio-02,v#00933821,116196,"ACT, PAT",coniuratione patefacta,,,,,,
SlaT-3178-n5,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,,,,,,,
SlaT-3178-n6,eripio,v#v-w588_MPf5_MP,eripio-10,v#02551144,101432,"ACT, ORIG, PAT",civitatem periculis ereptam esse,,,,,,
SlaT-3179-n2,sum,v#v-w2_MPf99_MP,,,,,,,,,"not a distinct node, aux of ereptam",,
SlaT-3179-n5,dubito,v#v-w608_MPf6_MP,dubito-04,v#01831308,100176,"ACT, PAT",dubitans [...] quid facto opus esset,,,,,,
SlaT-3179-n13,opus,v#v-w1019_MPf3_MP,opus-est-NEW-01,v#01188725,115170,"ACT, PAT",uti facto opus sit,have need of,,,"I would not use this frame, but either an abstract predicate (so far not existing) or an equivalent of smth like need-01, verbal, che però in latino non sembra esistere. what about opus-est-01? former opus-23.",,
SlaT-3179-n14,facio,v#v-w76_MPf17_MP,facio-02,v#00014549,102758,ACT,uti facto opus sit,,,,,,
SlaT-3179-n7,deprehendo,v#v-w797_MPf3_MP,deprehendo-03,v#00725748,98781,"ACT, PAT",in maxumo scelere tantis civibus deprehensis,,,,,,
SlaT-3180-n1,credo,v#v-w146_MPf16_MP,credo-01,v#00631737,96881,"ACT, PAT",inpunitatem perdundae rei publicae fore credebat,,,,,,
3180a2,sum,v#v-w2_MPf227_MP,doppio dativo?,,,,,,,,,,
SlaT-3180-n7,sum,v#v-w2_MPf243_MP,doppio dativo?,,,,,,,,,,
SlaT-3180-n9,perdo,v#v-w533_MPf4_MP,perdo-02,v#01564144,116738,"ACT, PAT",inpunitatem perdundae rei publicae fore credebat,,,,,,
SlaT-3181-n1,iubeo,v#v-w563_MPf3_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT",vocari ad sese iubet Lentulum,,merge,,,,
SlaT-3181-n4,confirmo,v#v-w206_MPf7_MP,confirmo-14,v#01766407,95765,"ACT, PAT",confirmato animo,,,,,,
SlaT-3181-n5,voco,v#v-w23_MPf7_MP,uoco-07,v#00792471,130729,"ACT, PAT",vocari ad sese iubet Lentulum,,,,,,
SlaT-3181-n15,paro,v#v-w572_MPf3_MP,paro-02,v#00406963,116061,"ACT, PAT",qui in Apuliam ad concitanda servitia proficisci parabat,,,,different frame than other paro-02,,
SlaT-3181-n17,proficiscor,v#v-w645_MPf11_MP,proficiscor-03,v#01835496,119713,"ACT, DIR1, DIR3",qui in Apuliam ad concitanda servitia proficisci parabat,,,,,,
SlaT-3181-n19,concito,v#v-w866_MPf4_MP,concito2-05,v#00851239,95535,"ACT, PAT",ad concitanda servitia,,,,,,
SlaT-3182-n1,venio,v#v-w34_MPf16_MP,uenio-07,v#02005948,129790,"ACT, DIR1, DIR3",ceteri sine mora veniunt,,,,,,
SlaT-3183-n1,profugio,v#v-w1344_MPf2_MP,profugio-02,v#02075049,119730,ACT,ex urbe profugerat,,,,,,
SlaT-3183-n3,egredior,v#v-w728_MPf2_MP,egredior-01,v#00528990,100715,"ACT, DIR1",domo egressus,,,,,,
SlaT-3183-n7,cognosco,v#v-w118_MPf24_MP,cognosco-06,v#00598954,94738,"ACT, PAT",cognito indicio,,,,,,
SlaT-3183-n8,indicium,v#v-w315_MPf4_MP,,,,,,,NON-EVENT,,,,
SlaT-3184-n4,perduco,v#v-w182_MPf13_MP,perduco-08,v#01999798,116747,"ACT, DIR1, DIR3, PAT",Lentulum [...] in senatum perducit,,,,,,
SlaT-3184-n6,sum,v#v-w2_MPf100_MP,have-role-91,,,,,,,,,,
SlaT-3184-n8,teneo,v#v-w172_MPf6_MP,teneo-11,v#01216670,127822,"ACT, PAT",manu tenens,,,,,,
SlaT-3184-n11,iubeo,v#v-w563_MPf10_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT",reliquos cum custodibus in aedem Concordiae venire iubet,,merge,,,,
SlaT-3184-n13,venio,v#v-w34_MPf6_MP,uenio-07,v#02005948,129790,"ACT, DIR1, DIR3",reliquos cum custodibus in aedem Concordiae venire iubet,,,,,,
SlaT-3185-n4,advoco,v#v-w1345_MPf1_MP,aduoco-05,v#00793037,87719,"ACT, PAT",senatum advocat,,,,,,
SlaT-3185-n6,introduco,v#v-w103_MPf4_MP,introduco-07,v#02078591,109581,"ACT, DIR3, PAT",Volturcium cum legatis introducit,,,,,,
SlaT-3185-n13,iubeo,v#v-w563_MPf11_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT",scrinium [...] eodem adferre iubet,,merge,,,,
SlaT-3185-n16,affero,v#v-w226_MPf9_MP,affero-07,v#02077656,88001,"ACT, DIR3, PAT",scrinium [...] eodem adferre iubet,,,,,,
SlaT-3185-n19,accipio,v#v-w217_MPf29_MP,accipio-14,v#02210119,87119,"ACT, ORIG, PAT","litteris, quas a legatis acceperat",,,,,,
Par. 47,,,,,,,,,,,,,
SlaT-3186-n3,interrogo,v#v-w742_MPf2_MP,interrogo-05,v#00788184,108627,"ACT, ADDR, PAT",interrogatus de itinere,,,,,,
SlaT-3186-n8,habeo,v#v-w73_MPf66_MP,have-91,,,,quid aut qua de causa consili habuisset,,,,,,
SlaT-3186-n12,causa,v#v-w258_MPf7_MP,,,,,,,NON-EVENT,,,,
SlaT-3186-n14,consilium,v#v-w316_MPf1_MP,,,,,,,NON-EVENT,,,,
SlaT-3186-n15,fingo,v#v-w240_MPf7_MP,fingo-06,v#00834259,103319,"ACT, PAT",fingere alia,,,,,,
SlaT-3186-n18,dissimulo,v#v-w932_MPf5_MP,dissimulo-06,v#02146790,99810,"ACT, PAT",dissimulare de coniuratione,,,,,,
SlaT-3186-n19,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,dissimulare de coniuratione,,,,,,
SlaT-3187-n3,iubeo,v#v-w563_MPf12_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT","fide publica dicere iussus est, omnia",,merge,,,,
SlaT-3187-n4,dico,v#v-w9_MPf84_MP,dico2-08/dico2-18,v#00941990/v#01009240,99302,"ACT, PAT","fide publica dicere iussus est, omnia",,merge,,,,
SlaT-3187-n7,aperio,v#v-w699_MPf6_MP,aperio-03,v#00933821,89397,"ACT, PAT",,,,,different frame than other aperio-03,,
SlaT-3187-n8,gero,v#v-w570_MPf9_MP,gero-15,v#02445509,104536,"ACT, PAT",uti gesta erant,,,,,,
SlaT-3187-n10,doceo,v#v-w165_MPf18_MP,doceo-05,v#00952524,99971,"ACT, ADDR, PAT","omnia, uti gesta erant, aperit",,,,,,
SlaT-3187-n12,scio,v#v-w90_MPf14_MP,scio-04,v#00594621,123732,"ACT, PAT",nihil amplius scire quam legatos,,,,,,
SlaT-3187-n15,ascisco,v#v-w1346_MPf1_MP,ascisco-14,v#02470175,90192,"ACT, ADDR, PAT",a Gabinio et Caepario socium adscitum,,,,,,
3187a9,scio,v#v-w90_MPf15_MP,scio-04,v#00594621,123732,"ACT, PAT",nihil amplius scire quam legatos,,,,,,
SlaT-3187-n27,soleo,v#v-w573_MPf5_MP,soleo-02,v#02370131,125051,"ACT, PAT","audire solitum ex Gabinio P. Autronium Ser. Sullam L. Vargunteium, multos praeterea in ea coniuratione esse",,,,MANCA AUDIRE,,
,audio,,audio-10,v#02169702,90641,"ACT, PAT","audire solitum ex Gabinio P. Autronium Ser. Sullam L. Vargunteium, multos praeterea in ea coniuratione esse",,,,,,
SlaT-3187-n29,sum,v#v-w2_MPf102_MP,abstract,,,,,,,,"something like be-member-91, which however does not exist. not location, not straightforward annotation.",,
SlaT-3187-n42,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,in ea coniuratione esse,,,,,,
SlaT-3188-n3,fateor,v#v-w672_MPf2_MP,fateor-04,v#00819508,102985,"ACT, PAT",eadem Galli fatentur,,,,,,
SlaT-3188-n5,coarguo,v#v-w1347_MPf1_MP,coarguo-02/coarguo-03,v#00667424/v#00667747,94640,"ACT, PAT",Lentulum dissimulantem coarguunt,,,,,,
SlaT-3188-n7,dissimulo,v#v-w932_MPf3_MP,dissimulo-06,v#02146790,99810,"ACT, PAT",Lentulum dissimulantem coarguunt,,,,,,
3188a3,soleo,v#v-w573_MPf6_MP,soleo-02,v#02370131,125051,"ACT, PAT",(sermones) ille habere solitus erat,,,,,,
SlaT-3188-n10,habeo,v#v-w73_MPf20_MP,habeo-NEW-24,v#00989602,105044,"ACT, PAT",(sermones) ille habere solitus erat,"deliver (a speech, oration, or idea)",,,,,
3189a1,coarguo,v#v-w1347_MPf1_MP,,,,,,,,,absent in UMR graph,,
SlaT-3189-n1,portendo,v#v-w1348_MPf1_MP,portendo-03,v#00974173,118518,"ACT, PAT",regnum Romae tribus Corneliis portendi,,,,,,
3190a1,coarguo,v#v-w1347_MPf1_MP,,,,,,,,,absent in UMR graph,,
3190a5,sum,v#v-w2_MPf96_MP,have-identity-91,,,,,,,,,,
SlaT-3190-n6,sum,v#v-w2_MPf119_MP,have-identity-91,,,,,,,,,,
SlaT-3190-n8,sum,v#v-w2_MPf106_MP,belong-91,,,,,,,,,,
SlaT-3190-n11,potior,v#v-w1051_MPf2_MP,potior-02,v#02204692,118660,"ACT, PAT",urbis potiri,,,,,,
3191a1,coarguo,v#v-w1347_MPf1_MP,,,,,,,,,absent in UMR graph,,
SlaT-3191-n1,sum,v#v-w2_MPf100_MP,have-identity-91,,,,,,,,,,
SlaT-3191-n3,incendo,v#v-w762_MPf4_MP,incendo-06,v#02761372,106911,"ACT, PAT",ab incenso Capitolio,,,,,,
SlaT-3191-n8,respondeo,v#v-w342_MPf13_MP,respondeo-NEW-11,v#00926702,122740,"ACT, PAT",haruspices respondissent bello civili cruentum fore,"predict or reveal through, or as if through, divine inspiration",,,,,
SlaT-3191-n12,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,,
SlaT-3192-n1,decerno,v#v-w635_MPf6_MP,decerno-05,v#00715868,98047,"ACT, PAT","senatus decernit, uti [...]  ceteri in liberis custodiis habeantur",,,,,,
SlaT-3192-n3,perlego,v#v-w1349_MPf1_MP,perlego-01,v#00626428,117020,"ACT, PAT",perlectis litteris,,,,,,
SlaT-3192-n5,cognosco,v#v-w118_MPf24_MP,cognosco-09,v#01059123,94738,"ACT, PAT",omnes signa sua cognovissent,,,,,,
SlaT-3192-n11,habeo,v#v-w73_MPf67_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF","senatus decernit, uti [...]  ceteri in liberis custodiis habeantur","keep in a certain state, position, or activity; e.g.,",,,,,
SlaT-3192-n12,abdico^abdicare,v#v-w1350_MPf1_MP,abdico-05,v#02367032,86860,"ACT, PAT",abdicato magistratu,,,,,,
SlaT-3192-n19,liber^solutus,v#v-w1135_MPf4_MP,,,,,,,NON-EVENT,,,,
3193a1,trado,v#v-w148_MPf11_MP,trado-NEW-12,v#02230772,128519,"ACT, ADDR, PAT",Cn. Terentio senatori traduntur,place into the hands or custody of,,,,,
SlaT-3193-n8,sum,v#v-w2_MPf100_MP,have-role-91,,,,,,,,,,
3193a2,trado,v#v-w148_MPf11_MP,trado-NEW-12,v#02230772,128519,"ACT, ADDR, PAT",Cn. Terentio senatori traduntur,place into the hands or custody of,,,,,
3193a3,trado,v#v-w148_MPf11_MP,trado-NEW-12,v#02230772,128519,"ACT, ADDR, PAT",Cn. Terentio senatori traduntur,place into the hands or custody of,,,,,
3193a4,trado,v#v-w148_MPf11_MP,trado-NEW-12,v#02230772,128519,"ACT, ADDR, PAT",Cn. Terentio senatori traduntur,place into the hands or custody of,,,,,
SlaT-3193-n24,trado,v#v-w148_MPf11_MP,trado-NEW-12,v#02230772,128519,"ACT, ADDR, PAT",Cn. Terentio senatori traduntur,place into the hands or custody of,,,,,
SlaT-3193-n26,retraho,v#v-w1331_MPf1_MP,retraho-NEW-09,v#01215137,122787,"ACT, PAT",ex fuga retractus erat,take into custody,,,,,
Par. 48,,,,,,,,,,,,,
SlaT-3194-n4,faveo,v#v-w887_MPf5_MP,faueo-09,v#01772172,103009,"ACT, PAT",plebs [...] bello favebat,,,,,,
SlaT-3194-n7,cupidus,v#v-w1278_MPf2_MP,cupio-03/cupio-05,v#01825237/v#01828405,97287,"ACT, PAT",cupida rerum novarum,,merge,,,,
SlaT-3194-n12,patefacio,v#v-w246_MPf4_MP,patefacio-02,v#00933821,116196,"ACT, PAT",coniuratione patefacta,,,,,,
SlaT-3194-n13,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,coniuratione patefacta,,,,,,
SlaT-3194-n16,exsecror,v#v-w1351_MPf1_MP,exsecror-05,v#01774136,102297,"ACT, PAT",Catilinae consilia execrari,,,,,,
SlaT-3194-n17,consilium,v#v-w316_MPf7_MP,,,,,,,NON-EVENT,,,,
SlaT-3194-n19,tollo,v#v-w336_MPf7_MP,tollo-NEW-21,v#00860620,128357,"ACT, PAT",Ciceronem ad caelum tollere,"praise, glorify, or honor",,,,,
SlaT-3194-n14,muto,v#v-w244_MPf6_MP,muto-04,v#00126264,113167,"ACT, EFF, PAT",mutata mente,,,,perche EFF?,,
SlaT-3195-n1,agito,v#v-w631_MPf4_MP,agito-NEW-16,v#00943837,88103,"ACT, PAT",gaudium atque laetitiam agitabat,give expression to,,,,,
3195a1,agito,v#v-w631_MPf4_MP,agito-NEW-16,v#00943837,88103,"ACT, PAT",gaudium atque laetitiam agitabat,give expression to,,,,,
SlaT-3195-n2,eripio,v#v-w588_MPf6_MP,eripio-10,v#02551144,101432,"ACT, ORIG, PAT",ex servitute erepta,,,,different frame than other eripio-10,,
SlaT-3196-n2,puto,v#v-w145_MPf7_MP,puto-09,v#00689344,120610,"ACT, PAT",incendium [...]  maxume calamitosum putabat,,,,,,
SlaT-3196-n5,sum,v#v-w2_MPf227_MP,doppio dativo?,,,,,,,,,,
3196a2,sum,v#v-w2_MPf227_MP,doppio dativo?,,,,,,,,,,
3196a4,sum,v#v-w2_MPf104_MP,have-mod-91,,,,,,,,,,
SlaT-3196-n20,sum,v#v-w2_MPf102_MP,have-place-91,,,,,,,,figurative,,
SlaT-3196-n26,usus,v#v-w62_MPf8_MP,,,,,,,NON-EVENT,,,,
SlaT-3196-n28,cultus,v#v-w958_MPf4_MP,,,,,,,NON-EVENT,,,,
SlaT-3197-n1,adduco,v#v-w679_MPf7_MP,adduco-16,v#01999798,87410,"ACT, DIR3, PAT",Tarquinius ad senatum adductus erat,,,,,,
SlaT-3197-n8,ajo,v#v-w555_MPf2_MP,aio-NEW-16,v#01016002,88191,"ACT, PAT",ex itinere retractum aiebant,report or mantain,,,,,
SlaT-3197-n9,retraho,v#v-w1331_MPf1_MP,retraho-NEW-09,v#01215137,122787,"ACT, PAT",ex itinere retractum,take into custody,,,,,
SlaT-3197-n11,proficiscor,v#v-w645_MPf14_MP,proficiscor-04,v#01848718,119713,"ACT, DIR3",ad Catilinam proficiscentem,,,,,,
SlaT-3198-n1,doceo,v#v-w165_MPf28_MP,doceo-05,v#00952524,99971,"ACT, ADDR, PAT",eadem fere quae Volturcius [...] docet,,,,different frame than other doceo-05,,
SlaT-3198-n3,dico,v#v-w9_MPf42_MP,dico2-08/dico2-18,v#00941990/v#01009240,99302,"ACT, PAT",se diceret indicaturum de coniuratione,,merge,,,,
SlaT-3198-n4,indico,v#v-w1282_MPf1_MP,indico-03,v#00933821,107327,"ACT, PAT",indicaturum de coniuratione,,,,,,
SlaT-3198-n6,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,,,,,,,
SlaT-3198-n7,do,v#v-w72_MPf29_MP,do-04,v#00806049,99970,"ACT, ADDR, PAT",si fides publica data esset,,,,,,
SlaT-3198-n10,iubeo,v#v-w563_MPf13_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT",iussus a consule quae sciret edicere,,merge,,,,
SlaT-3198-n12,edico,v#v-w1352_MPf1_MP,edico-02,v#00965871,100563,"ACT, PAT",iussus a consule quae sciret edicere,,,,,,
SlaT-3198-n13,scio,v#v-w90_MPf14_MP,scio-04,v#00594621,123732,"ACT, PAT",iussus a consule quae sciret edicere,,,,,,
3198a9,edico,v#v-w1352_MPf2_MP,edico-02,v#00965871,100563,"ACT, PAT",iussus a consule quae sciret edicere,,,,,,
SlaT-3198-n21,paro,v#v-w572_MPf4_MP,paro-01,v#00406243,116061,"ACT, PAT",de paratis incendiis,,,,,,
3199a10,doceo,v#v-w165_MPf29_MP,doceo-05,v#00952524,99971,"ACT, ADDR, PAT",eadem fere quae Volturcius [...] docet,,,,different frame than other doceo-05,,
SlaT-3199-n1,mitto,v#v-w228_MPf38_MP,mitto-18,v#01955127,112499,"ACT, INTT, PAT",se missum a M. Crasso,,,,,,
SlaT-3199-n7,nuntio,v#v-w682_MPf7_MP,nuntio-05,v#00873682,114008,"ACT, ADDR, PAT","qui Catilinae nuntiaret, ne [...] terrerent",,,,,,
SlaT-3199-n11,terreo,v#v-w668_MPf3_MP,terreo-01,v#01779165,127920,"ACT, PAT","qui Catilinae nuntiaret, ne [...] terrerent",,,,,,
SlaT-3199-n18,conjuratio,v#v-w1094_MPf4_MP,coniuratio-05,n#05908882,95954,ACT,alii ex coniuratione,,,,,,
SlaT-3199-n19,deprehendo,v#v-w797_MPf3_MP,deprehendo-03,v#00725748,98781,"ACT, PAT",eum Lentulus et Cethegus aliique ex coniuratione deprehensi,,,,,,
SlaT-3199-n20,propero,v#v-w651_MPf11_MP,propero-NEW-06,v#00459296,119934,"ACT, PAT",properaret ad urbem adcedere,urge to an unnatural speed,,,,,
SlaT-3199-n23,accedo,v#v-w75_MPf6_MP,accedo-04/accedo-08,v#01843497/v#02053941,87084,"ACT, DIR3",properaret ad urbem adcedere,,merge,,,,
SlaT-3199-n26,reficio,v#v-w1353_MPf1_MP,reficio-03,v#00028362,122501,"ACT, PAT",ceterorum animos reficeret,,,,,,
SlaT-3199-n29,eripio,v#v-w588_MPf6_MP,eripio-10,v#02551144,101432,"ACT, ORIG, PAT",illi facilius e periculo eriperentur,,,,,,
SlaT-3200-n3,nomino,v#v-w22_MPf10_MP,nomino-12,v#01024190,113810,"ACT, PAT",Tarquinius Crassum nominavit,,,,different frame than other nomino-12,,
SlaT-3200-n12,potentia,v#v-w313_MPf2_MP,,,,,,,NON-EVENT,,,,
SlaT-3200-n16,reor,v#v-w662_MPf2_MP,reor-05,v#00689344,122641,"ACT, PAT",rem incredibilem rati,,,,,,
SlaT-3200-n18,incredibilis,v#v-w1077_MPf1_MP,credo-03,v#00684068,96881,"ACT, PAT",rem incredibilem rati,,,,polarity neg,,
SlaT-3200-n20,existimo,v#v-w591_MPf7_MP,existimo-04,v#00689950,102057,"ACT, PAT",verum existumabant,,,,,,
SlaT-3200-n23,video,v#v-w16_MPf65_MP,uideo-10,v#02133435,130163,"ACT, EFF, PAT",tanta vis hominis magis leniunda quam exagitanda videbatur,,,passive,,,
SlaT-3200-n29,lenio,v#v-w1254_MPf2_MP,lenio-10,v#01815185,110199,"ACT, PAT",tanta vis hominis magis leniunda quam exagitanda videbatur,,,,,,
3200a10,video,v#v-w16_MPf65_MP,uideo-10,v#02133435,130163,"ACT, EFF, PAT",tanta vis hominis magis leniunda quam exagitanda videbatur,,,passive,,,
SlaT-3200-n31,exagito,v#v-w1200_MPf2_MP,exagito-11,v#01762528,101746,"ACT, PAT",tanta vis hominis magis leniunda quam exagitanda videbatur,,,,,,
SlaT-3200-n34,obnoxius,v#v-w1205_MPf2_MP,obligo-04,v#00885217,114272,"ACT, EFF, PAT",plerique Crasso ex negotiis privatis obnoxii,,,,,,
SlaT-3200-n38,conclamo,v#v-w1354_MPf2_MP,conclamo-03,v#00912048,95540,"ACT, PAT",conclamant iudicem falsum esse,,,,PAT missing in V2 but there is for example in exclamo with same synset,,
SlaT-3200-n39,sum,v#v-w2_MPf104_MP,have-mod-91,,,,deque ea re postulant uti referatur,,,,,,
SlaT-3200-n42,postulo,v#v-w768_MPf15_MP,postulo-02,v#00754942,118629,"ACT, ADDR, PAT",deque ea re postulant uti referatur,,,,,,
SlaT-3200-n45,refero,v#v-w566_MPf14_MP,refero-04,v#00670261,122494,"ACT, PAT",deque ea re postulant uti referatur,,,,,,
SlaT-3201-n1,decerno,v#v-w635_MPf11_MP,decerno-05,v#00715868,98047,"ACT, PAT",senatus decernit Tarquini indicium falsum videri,,,,,,
SlaT-3201-n3,consulo,v#v-w630_MPf8_MP,consulo-08,v#00877559,96186,"ACT, PAT, REG",consulente Cicerone,,,,,,
SlaT-3201-n8,video,v#v-w16_MPf62_MP,uideo-10,v#02133435,130163,"ACT, EFF, PAT",senatus decernit Tarquini indicium falsum videri,,,passive,does not match with same frame elsewhere,,
SlaT-3201-n9,indicium,v#v-w315_MPf5_MP,,,,,,,NON-EVENT,,,,
SlaT-3201-n13,retineo,v#v-w248_MPf7_MP,retineo-04,v#02495038,122776,"ACT, LOC, PAT",eumque in vinculis retinendum,,,,,,
SlaT-3201-n16,facio,v#v-w76_MPf18_MP,facio-25,v#01752884,102758,"ACT, PAT",neque amplius potestatem faciundam,,,,,,
SlaT-3201-n19,potestas,v#v-w1087_MPf2_MP,,,,,,,NON-EVENT,,facoltà di parlare,,
SlaT-3201-n20,indico,v#v-w1282_MPf2_MP,indico-03,v#00933821,107327,"ACT, PAT","de eo indicaret, cuius consilio tantam rem esset mentitus",,,,,,
SlaT-3201-n22,mentior,v#v-w1355_MPf1_MP,mentior-06,v#01634424,112072,"ACT, PAT",cuius consilio tantam rem esset mentitus,,,,,,
SlaT-3201-n23,consilium,v#v-w316_MPf4_MP,consulo-08,v#00877559,96186,"ACT, PAT, REG",,,EVENT,,per suggerimento di chi avesse mentito,,
SlaT-3202-n1,sum,v#v-w2_MPf113_MP,exist-91,,,,,,,,,,
SlaT-3202-n4,existimo,v#v-w591_MPf8_MP,existimo-03,v#00689344,102057,"ACT, EFF, PAT",qui existumarent indicium illud a P. Autronio machinatum,,,,perche EFF?,ELEONORA,
SlaT-3202-n6,machinor,v#v-w1100_MPf4_MP,machinor-02,v#00708128,111199,"ACT, PAT",indicium illud a P. Autronio machinatum,,,,,,
SlaT-3202-n7,indicium,v#v-w315_MPf4_MP,,,,,,,NON-EVENT,,,,
SlaT-3202-n12,tego,v#v-w613_MPf4_MP,tego-03/tego-04,v#01128193/v#01129337,127731,"ACT, PAT",reliquos illius potentia tegeret,,merge,,,,
SlaT-3202-n14,appello,v#v-w607_MPf6_MP,appello-06,v#00843468,89580,"ACT, PAT",appellato Crasso,,,,,,
SlaT-3202-n19,potentia,v#v-w313_MPf6_MP,,,,,,,NON-EVENT,,,,
SlaT-3203-n1,ajo,v#v-w555_MPf2_MP,aio-NEW-16,v#01016002,88191,"ACT, PAT",Tarquinium a Cicerone immissum aiebant,report or mantain,,,,,
SlaT-3203-n3,immitto,v#v-w243_MPf5_MP,immitto-NEW-17,v#00851239,106419,"ACT, PAT",Tarquinium a Cicerone immissum,provoke or stir up,,,,,
SlaT-3203-n6,conturbo,v#v-w1321_MPf2_MP,conturbo-01,v#00276601,96398,"ACT, PAT",ne Crassus [...] rem publicam conturbaret,,,,,,
SlaT-3203-n8,suscipio,v#v-w763_MPf2_MP,suscipio-16,v#02381726,127111,"ACT, PAT",suscepto malorum patrocinio,,,,,,
SlaT-3204-n1,audio,v#v-w216_MPf6_MP,audio-10,v#02169702,90641,"ACT, PAT",Crassum ego postea praedicantem audivi,,,,different frame than other audio-10,,
SlaT-3204-n4,praedico^praedicare,v#v-w775_MPf6_MP,praedico-10,v#00977336,118832,"ACT, PAT",Crassum ego postea praedicantem audivi tantam illam contumeliam sibi ab Cicerone inpositam,,,,,,
SlaT-3204-n5,impono,v#v-w369_MPf9_MP,impono-04,v#00748282,106633,"ACT, ADDR, PAT",tantam illam contumeliam sibi ab Cicerone inpositam,,,,,,
Par. 49,,,,,,,,,,,,,
SlaT-3205-n2,impello,v#v-w671_MPf4_MP,impello-08/impello-11,v#01650425/v#02506546,106498,"ACT, ADDR, PAT","Ciceronem inpellere potuere, uti per Allobroges aut alium indicem C. Caesar falso nominaretur",,merge,,different frame than other impello-08/impello-11,,
SlaT-3205-n24,nomino,v#v-w22_MPf16_MP,nomino-12,v#01024190,113810,"ACT, PAT",per Allobroges aut alium indicem C. Caesar falso nominaretur,,,,different frame than other nomino-12,,
SlaT-3206-n1,exerceo,v#v-w251_MPf7_MP,exerceo-NEW-30,v#02108026,101981,"ACT, PAT",uterque cum illo gravis inimicitias exercebant,go through (mental or physical states or experiences),,,,,
SlaT-3207-n2,oppugno,v#v-w1356_MPf1_MP,oppugno2-01,v#00862683,115142,"ACT, PAT",Piso oppugnatus in iudicio pecuniarum repetundarum,,,,,,
SlaT-3207-n5,repeto,v#v-w639_MPf4_MP,repeto-14,v#02275365,122660,"ACT, PAT",Piso oppugnatus in iudicio pecuniarum repetundarum,,,,,,
SlaT-3207-n7,supplicium,v#v-w1159_MPf4_MP,,,,,,,NON-EVENT?,,,,
SlaT-3207-n11,incendo,v#v-w762_MPf4_MP,incendo-04/incendo-05,v#01761706/v#02116118,106911,"ACT, PAT",odio incensus,,merge,,different frame than other incendo-04/05,,
SlaT-3207-n13,petitio,v#v-w1246_MPf3_MP,peto-NEW-19,,117549,"ACT, PAT",Catulus ex petitione pontificatus,to be a candidate for office,,,,,
SlaT-3207-n15,odium,v#v-w1317_MPf2_MP,,,,,,,NON-EVENT,,,,
SlaT-3207-n16,discedo,v#v-w641_MPf12_MP,discedo-05,v#02008396,99589,"ACT, DIR1",ab adulescentulo Caesare victus discesserat,,,,,,
SlaT-3207-n20,utor,v#v-w28_MPf8_MP,utor-11,v#02568672,130923,"ACT, PAT",,,,PAT in ablative,,,
SlaT-3207-n23,vinco,v#v-w143_MPf5_MP,uinco-05,v#01108148,130232,"ACT, PAT",ab adulescentulo Caesare victus,,,,different frame than other uinco-05,,
SlaT-3208-n2,video,v#v-w16_MPf50_MP,uideo-10,v#02133435,130163,"ACT, EFF, PAT",res autem opportuna videbatur,,,passive,,,
3208a2,debeo,v#v-w83_MPf5_MP,debeo-02,v#02253956,97963,"ACT, PAT",grandem pecuniam debebat,,,,,,
SlaT-3208-n10,debeo,v#v-w83_MPf5_MP,debeo-02,v#02253956,97963,"ACT, PAT",grandem pecuniam debebat,,,,,,
SlaT-3209-n2,conflo,v#v-w1198_MPf3_MP,conflo-04,v#00851239,95792,"ACT, BEN, PAT",magnam illi invidiam conflaverant,,,,,,
SlaT-3209-n4,impello,v#v-w671_MPf10_MP,impello-08/impello-11,v#01650425/v#02506546,106498,"ACT, ADDR, PAT",consulem ad tantum facinus inpellere nequeunt,,merge,,different frame than other impello-08/impello-11,,
